招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
贵州,贵州大学,2011,541.00,541.00,,1,本科一批,17,文科,北京
贵州,贵州大学,2013,545.00,540.00,,5,本科一批,7,文科,天津
贵州,贵州大学,2012,556.00,553.00,,5,本科一批,4,文科,天津
贵州,贵州大学,2011,520.00,520.00,,3,本科一批,1,文科,天津
贵州,贵州大学,2010,543.00,531.00,,2,本科一批,12,文科,天津
贵州,贵州大学,2009,537.00,518.00,,6,本科一批,7,文科,天津
贵州,贵州大学,2008,557.00,537.00,,14,本科一批,14,文科,天津
贵州,贵州大学,2007,546.00,524.00,,15,本科一批,11,文科,天津
贵州,贵州大学,2006,493.00,484.00,,7,本科一批,7,文科,天津
贵州,贵州大学,2005,510.00,475.00,,10,本科二批,15,文科,天津
贵州,贵州大学,2013,582.00,575.00,,8,本科一批,19,文科,重庆
贵州,贵州大学,2012,581.00,569.00,,14,本科一批,15,文科,重庆
贵州,贵州大学,2011,585.00,576.00,,12,本科一批,12,文科,重庆
贵州,贵州大学,2010,587.00,583.00,,8,本科一批,10,文科,重庆
贵州,贵州大学,2009,584.00,561.00,,6,本科一批,15,文科,重庆
贵州,贵州大学,2008,587.00,581.00,,13,本科一批,5,文科,重庆
贵州,贵州大学,2007,554.00,545.00,,12,本科一批,5,文科,重庆
贵州,贵州大学,2006,586.00,563.00,,25,本科一批,7,文科,重庆
贵州,贵州大学,2005,545.00,524.00,,26,本科二批,37,文科,重庆
贵州,贵州大学,2004,,,,,不详,,文科,重庆
贵州,贵州大学,2003,,,,,不详,,文科,重庆
贵州,贵州大学,2001,,515.00,,,不详,,文科,重庆
贵州,贵州大学,2013,551.00,523.00,,17,本科一批,,文科,河北
贵州,贵州大学,2012,589.00,582.00,,13,本科一批,10,文科,河北
贵州,贵州大学,2011,577.00,571.00,,11,本科一批,9,文科,河北
贵州,贵州大学,2010,566.00,551.00,,13,本科一批,12,文科,河北
贵州,贵州大学,2009,552.00,547.00,,13,本科一批,8,文科,河北
贵州,贵州大学,2008,552.00,541.00,,21,本科一批,4,文科,河北
贵州,贵州大学,2007,590.00,573.00,,20,本科一批,7,文科,河北
贵州,贵州大学,2006,580.00,567.00,,35,本科一批,6,文科,河北
贵州,贵州大学,2006,551.00,549.00,,4,本科二批,19,文科,河北
贵州,贵州大学,2006,551.00,549.00,,4,本科二三批,,文科,河北
贵州,贵州大学,2005,540.00,525.00,,28,本科二批,25,文科,河北
贵州,贵州大学,2003,,,503.00,,不详,,文科,河北
贵州,贵州大学,2013,540.00,534.00,,21,本科一批,15,文科,河南
贵州,贵州大学,2012,580.00,570.00,,20,本科一批,13,文科,河南
贵州,贵州大学,2011,578.00,571.00,,22,本科一批,9,文科,河南
贵州,贵州大学,2010,549.00,543.00,,10,本科一批,11,文科,河南
贵州,贵州大学,2009,576.00,560.00,,10,本科一批,8,文科,河南
贵州,贵州大学,2008,575.00,566.00,,12,本科一批,9,文科,河南
贵州,贵州大学,2007,609.00,598.00,,14,本科一批,9,文科,河南
贵州,贵州大学,2006,616.00,598.00,,32,本科一批,7,文科,河南
贵州,贵州大学,2005,574.00,552.00,,22,本科二批,30,文科,河南
贵州,贵州大学,2004,,,564.00,,不详,,文科,河南
贵州,贵州大学,2013,593.00,584.00,,13,本科一批,14,文科,山东
贵州,贵州大学,2012,599.00,585.00,,16,本科一批,12,文科,山东
贵州,贵州大学,2011,596.00,579.00,,12,本科一批,9,文科,山东
贵州,贵州大学,2010,624.00,613.00,,10,本科一批,7,文科,山东
