招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
贵州,贵州大学,2011,518.00,499.00,,3,本科一批,15,理科,北京
贵州,贵州大学,2010,556.00,517.00,,3,本科一批,23,理科,北京
贵州,贵州大学,2009,536.00,522.00,,7,本科一批,21,理科,北京
贵州,贵州大学,2008,596.00,532.00,,7,本科一批,30,理科,北京
贵州,贵州大学,2006,602.00,556.00,,11,本科一批,28,理科,北京
贵州,贵州大学,2013,540.00,529.00,,26,本科一批,8,理科,天津
贵州,贵州大学,2012,553.00,538.00,,13,本科一批,8,理科,天津
贵州,贵州大学,2011,549.00,523.00,,16,本科一批,8,理科,天津
贵州,贵州大学,2010,530.00,515.00,,14,本科一批,6,理科,天津
贵州,贵州大学,2009,521.00,510.00,,25,本科一批,8,理科,天津
贵州,贵州大学,2008,558.00,534.00,,30,本科一批,12,理科,天津
贵州,贵州大学,2007,536.00,515.00,,32,本科一批,6,理科,天津
贵州,贵州大学,2006,540.00,517.00,,46,本科一批,12,理科,天津
贵州,贵州大学,2005,459.00,422.00,,47,本科二批,14,理科,天津
贵州,贵州大学,2013,568.00,547.00,,52,本科一批,27,理科,重庆
贵州,贵州大学,2012,557.00,542.00,,54,本科一批,20,理科,重庆
贵州,贵州大学,2011,576.00,552.00,,45,本科一批,19,理科,重庆
贵州,贵州大学,2010,570.00,548.00,,40,本科一批,15,理科,重庆
贵州,贵州大学,2009,595.00,573.00,,44,本科一批,16,理科,重庆
贵州,贵州大学,2009,585.00,567.00,,4,本科提前批,,理科,重庆
贵州,贵州大学,2008,569.00,552.00,,4,本科提前批,,理科,重庆
贵州,贵州大学,2008,568.00,559.00,,46,本科一批,15,理科,重庆
贵州,贵州大学,2007,547.00,518.00,,73,本科一批,13,理科,重庆
贵州,贵州大学,2006,598.00,540.00,,77,本科一批,9,理科,重庆
贵州,贵州大学,2005,554.00,528.00,,74,本科二批,34,理科,重庆
贵州,贵州大学,2004,,,,,不详,,理科,重庆
贵州,贵州大学,2003,,,418.00,,不详,,理科,重庆
贵州,贵州大学,2001,,525.00,,,不详,,理科,重庆
贵州,贵州大学,2013,580.00,560.00,,57,本科一批,22,理科,河北
贵州,贵州大学,2012,592.00,581.00,,60,本科一批,17,理科,河北
贵州,贵州大学,2011,605.00,594.00,,56,本科一批,13,理科,河北
贵州,贵州大学,2010,592.00,573.00,,60,本科一批,12,理科,河北
贵州,贵州大学,2009,595.00,580.00,,64,本科一批,11,理科,河北
贵州,贵州大学,2008,579.00,561.00,,57,本科一批,9,理科,河北
