招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
辽宁,大连理工大学,2013,600.00,594.00,,31,本科一批,33,文科,河北
辽宁,大连理工大学,2012,606.00,599.00,,23,本科一批,27,文科,河北
辽宁,大连理工大学,2011,593.00,586.00,,24,本科一批,24,文科,河北
辽宁,大连理工大学,2010,571.00,566.00,,23,本科一批,27,文科,河北
辽宁,大连理工大学,2009,569.00,563.00,,13,本科一批,24,文科,河北
辽宁,大连理工大学,2008,572.00,556.00,,8,本科一批,19,文科,河北
辽宁,大连理工大学,2007,592.00,584.00,,8,本科一批,18,文科,河北
辽宁,大连理工大学,2006,596.00,581.00,,26,本科一批,20,文科,河北
辽宁,大连理工大学,2005,571.00,561.00,,28,本科一批,25,文科,河北
辽宁,大连理工大学,2004,,,,,不详,,文科,河北
辽宁,大连理工大学,2003,,,531.00,,不详,,文科,河北
辽宁,大连理工大学,2002,,,,,不详,,文科,河北
辽宁,大连理工大学,2001,,563.00,,,不详,,文科,河北
辽宁,大连理工大学,2001,,491.00,,,不详,,文科,河南
辽宁,大连理工大学,2013,616.00,605.00,,21,本科一批,35,文科,山东
辽宁,大连理工大学,2012,618.00,606.00,,19,本科一批,33,文科,山东
辽宁,大连理工大学,2011,607.00,588.00,,21,本科一批,18,文科,山东
辽宁,大连理工大学,2010,636.00,622.00,,21,本科一批,16,文科,山东
辽宁,大连理工大学,2009,624.00,614.00,,11,本科一批,18,文科,山东
辽宁,大连理工大学,2008,609.00,597.00,,20,本科一批,13,文科,山东
辽宁,大连理工大学,2007,626.00,609.00,,20,本科一批,16,文科,山东
辽宁,大连理工大学,2006,589.00,579.00,,20,本科一批,11,文科,山东
辽宁,大连理工大学,2005,614.00,586.00,,20,本科一批,14,文科,山东
辽宁,大连理工大学,2003,,,555.00,,不详,,文科,山东
辽宁,大连理工大学,2002,,,,,不详,,文科,山东
辽宁,大连理工大学,2001,,586.00,,,不详,,文科,山东
辽宁,大连理工大学,2013,,,337.00,,本科一批,,文科,江苏
辽宁,大连理工大学,2007,642.00,629.00,,147,本科一批,,文科,江苏
辽宁,大连理工大学,2006,630.00,615.00,,126,本科一批,,文科,江苏
辽宁,大连理工大学,2005,625.00,603.00,,122,本科一批,,文科,江苏
辽宁,大连理工大学,2013,,,645.00,,本科一批,,文科,浙江
