招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
辽宁,大连理工大学,2013,668.00,633.00,,29,本科一批,83,理科,北京
辽宁,大连理工大学,2012,609.00,562.00,,42,本科一批,85,理科,北京
辽宁,大连理工大学,2011,627.00,564.00,,37,本科一批,80,理科,北京
辽宁,大连理工大学,2010,633.00,575.00,,35,本科一批,81,理科,北京
辽宁,大连理工大学,2009,628.00,576.00,,46,本科一批,75,理科,北京
辽宁,大连理工大学,2008,620.00,564.00,,40,本科一批,62,理科,北京
辽宁,大连理工大学,2007,617.00,585.00,,50,本科一批,54,理科,北京
辽宁,大连理工大学,2006,652.00,586.00,,39,本科一批,58,理科,北京
辽宁,大连理工大学,2005,578.00,547.00,,26,本科一批,77,理科,北京
辽宁,大连理工大学,2004,,,,,不详,,理科,北京
辽宁,大连理工大学,2003,,,,,不详,,理科,北京
辽宁,大连理工大学,2002,,,,,不详,,理科,北京
辽宁,大连理工大学,2001,,548.00,,,不详,,理科,北京
辽宁,大连理工大学,2013,622.00,607.00,,104,本科一批,86,理科,天津
辽宁,大连理工大学,2012,632.00,619.00,,115,本科一批,89,理科,天津
辽宁,大连理工大学,2011,619.00,602.00,,105,本科一批,87,理科,天津
辽宁,大连理工大学,2010,614.00,588.00,,133,本科一批,79,理科,天津
辽宁,大连理工大学,2009,627.00,582.00,,100,本科一批,80,理科,天津
辽宁,大连理工大学,2008,641.00,588.00,,99,本科一批,66,理科,天津
辽宁,大连理工大学,2007,637.00,588.00,,121,本科一批,79,理科,天津
辽宁,大连理工大学,2006,615.00,574.00,,110,本科一批,69,理科,天津
辽宁,大连理工大学,2005,596.00,539.00,,100,本科一批,81,理科,天津
辽宁,大连理工大学,2004,,,,,不详,,理科,天津
辽宁,大连理工大学,2003,,,,,不详,,理科,天津
辽宁,大连理工大学,2002,,,,,不详,,理科,天津
辽宁,大连理工大学,2001,,562.00,,,不详,,理科,天津
辽宁,大连理工大学,2013,456.00,444.00,,10,本科一批,39,理科,上海
辽宁,大连理工大学,2012,469.00,449.00,,11,本科一批,26,理科,上海
辽宁,大连理工大学,2011,500.00,484.00,,11,本科一批,22,理科,上海
辽宁,大连理工大学,2010,488.00,482.00,,11,本科一批,17,理科,上海
辽宁,大连理工大学,2009,485.00,467.00,,12,本科一批,12,理科,上海
辽宁,大连理工大学,2008,501.00,492.00,,10,本科一批,25,理科,上海
辽宁,大连理工大学,2007,490.00,476.00,,10,本科一批,15,理科,上海
辽宁,大连理工大学,2006,513.00,483.00,,10,本科一批,17,理科,上海
辽宁,大连理工大学,2005,514.00,485.00,,10,本科一批,,理科,上海
辽宁,大连理工大学,2004,,,,,不详,,理科,上海
辽宁,大连理工大学,2003,,,,,不详,,理科,上海
辽宁,大连理工大学,2002,,,,,不详,,理科,上海
辽宁,大连理工大学,2001,,442.00,,,不详,,理科,上海
辽宁,大连理工大学,2013,611.00,594.00,,43,本科一批,74,理科,重庆
辽宁,大连理工大学,2012,628.00,590.00,,48,本科一批,68,理科,重庆
辽宁,大连理工大学,2011,627.00,605.00,,41,本科一批,72,理科,重庆
辽宁,大连理工大学,2010,624.00,607.00,,44,本科一批,74,理科,重庆
辽宁,大连理工大学,2009,649.00,622.00,,36,本科一批,65,理科,重庆
辽宁,大连理工大学,2008,639.00,624.00,,37,本科一批,80,理科,重庆
辽宁,大连理工大学,2007,598.00,579.00,,35,本科一批,74,理科,重庆
辽宁,大连理工大学,2006,612.00,587.00,,35,本科一批,56,理科,重庆
辽宁,大连理工大学,2005,630.00,594.00,,30,本科一批,46,理科,重庆
辽宁,大连理工大学,2004,,,,,不详,,理科,重庆
辽宁,大连理工大学,2003,,,,,不详,,理科,重庆
辽宁,大连理工大学,2002,,,,,不详,,理科,重庆
辽宁,大连理工大学,2001,,608.00,,,不详,,理科,重庆
辽宁,大连理工大学,2013,645.00,615.00,,253,本科一批,77,理科,河北
辽宁,大连理工大学,2012,646.00,631.00,,231,本科一批,67,理科,河北
辽宁,大连理工大学,2011,653.00,641.00,,216,本科一批,60,理科,河北
辽宁,大连理工大学,2010,637.00,625.00,,12,本科提前批,,理科,河北
辽宁,大连理工大学,2010,633.00,618.00,,232,本科一批,57,理科,河北
辽宁,大连理工大学,2009,643.00,627.00,,250,本科一批,58,理科,河北
辽宁,大连理工大学,2008,631.00,608.00,,232,本科一批,56,理科,河北
辽宁,大连理工大学,2007,651.00,634.00,,234,本科一批,47,理科,河北
辽宁,大连理工大学,2006,638.00,622.00,,211,本科一批,45,理科,河北
辽宁,大连理工大学,2005,619.00,603.00,,183,本科一批,52,理科,河北
辽宁,大连理工大学,2004,,,,,不详,,理科,河北
辽宁,大连理工大学,2003,,,556.00,,不详,,理科,河北
辽宁,大连理工大学,2002,,,,,不详,,理科,河北
辽宁,大连理工大学,2001,,621.00,,,不详,,理科,河北
辽宁,大连理工大学,2013,605.00,587.00,,282,本科一批,82,理科,河南
辽宁,大连理工大学,2012,639.00,612.00,,221,本科一批,72,理科,河南
辽宁,大连理工大学,2011,654.00,636.00,,262,本科一批,54,理科,河南
辽宁,大连理工大学,2010,627.00,615.00,,8,本科提前批,,理科,河南
辽宁,大连理工大学,2010,625.00,606.00,,244,本科一批,54,理科,河南
辽宁,大连理工大学,2009,652.00,617.00,,221,本科一批,50,理科,河南
辽宁,大连理工大学,2008,651.00,607.00,,237,本科一批,44,理科,河南
辽宁,大连理工大学,2007,670.00,630.00,,195,本科一批,34,理科,河南
辽宁,大连理工大学,2006,653.00,621.00,,211,本科一批,31,理科,河南
辽宁,大连理工大学,2005,658.00,621.00,,195,本科一批,53,理科,河南
辽宁,大连理工大学,2004,,,,,不详,,理科,河南
辽宁,大连理工大学,2002,,,,,不详,,理科,河南
辽宁,大连理工大学,2001,,491.00,,,不详,,理科,河南
辽宁,大连理工大学,2013,659.00,643.00,,192,本科一批,89,理科,山东
辽宁,大连理工大学,2012,669.00,651.00,,201,本科一批,69,理科,山东
辽宁,大连理工大学,2011,658.00,628.00,,192,本科一批,61,理科,山东
辽宁,大连理工大学,2010,666.00,636.00,,21,本科提前批,,理科,山东
辽宁,大连理工大学,2010,658.00,642.00,,179,本科一批,62,理科,山东
辽宁,大连理工大学,2009,671.00,642.00,,220,本科一批,56,理科,山东
辽宁,大连理工大学,2008,651.00,635.00,,209,本科一批,53,理科,山东
辽宁,大连理工大学,2007,643.00,625.00,,193,本科一批,52,理科,山东
辽宁,大连理工大学,2006,650.00,628.00,,181,本科一批,45,理科,山东
辽宁,大连理工大学,2005,662.00,638.00,,175,本科一批,41,理科,山东
辽宁,大连理工大学,2004,,,,,不详,,理科,山东
辽宁,大连理工大学,2003,,,525.00,,不详,,理科,山东
辽宁,大连理工大学,2002,,,,,不详,,理科,山东
辽宁,大连理工大学,2001,,627.00,,,不详,,理科,山东
辽宁,大连理工大学,2013,584.00,568.00,,142,本科一批,75,理科,山西
辽宁,大连理工大学,2012,613.00,599.00,,114,本科一批,69,理科,山西
辽宁,大连理工大学,2011,656.00,615.00,,111,本科一批,45,理科,山西
辽宁,大连理工大学,2010,631.00,592.00,,110,本科一批,56,理科,山西
辽宁,大连理工大学,2009,634.00,602.00,,110,本科一批,55,理科,山西
辽宁,大连理工大学,2008,634.00,594.00,,110,本科一批,48,理科,山西
辽宁,大连理工大学,2007,654.00,614.00,,100,本科一批,42,理科,山西
辽宁,大连理工大学,2006,637.00,602.00,,85,本科一批,50,理科,山西
辽宁,大连理工大学,2005,617.00,583.00,,75,本科一批,51,理科,山西
辽宁,大连理工大学,2004,,,,,不详,,理科,山西
辽宁,大连理工大学,2003,,,501.00,,不详,,理科,山西
辽宁,大连理工大学,2002,,,,,不详,,理科,山西
辽宁,大连理工大学,2001,,603.00,,,不详,,理科,山西
辽宁,大连理工大学,2013,598.00,587.00,,177,本科一批,97,理科,安徽
辽宁,大连理工大学,2012,637.00,630.00,,149,本科一批,86,理科,安徽
辽宁,大连理工大学,2011,628.00,618.00,,143,本科一批,84,理科,安徽
辽宁,大连理工大学,2010,638.00,630.00,,150,本科一批,68,理科,安徽
辽宁,大连理工大学,2010,637.00,631.00,,7,本科提前批,,理科,安徽
辽宁,大连理工大学,2009,648.00,638.00,,148,本科一批,59,理科,安徽
辽宁,大连理工大学,2008,632.00,616.00,,130,本科一批,53,理科,安徽
辽宁,大连理工大学,2007,629.00,615.00,,118,本科一批,52,理科,安徽
辽宁,大连理工大学,2006,645.00,607.00,,93,本科一批,41,理科,安徽
辽宁,大连理工大学,2005,628.00,587.00,,94,本科一批,46,理科,安徽
辽宁,大连理工大学,2004,,,,,不详,,理科,安徽
辽宁,大连理工大学,2003,,,,,不详,,理科,安徽
辽宁,大连理工大学,2002,,,,,不详,,理科,安徽
辽宁,大连理工大学,2001,,600.00,,,不详,,理科,安徽
辽宁,大连理工大学,2013,600.00,593.00,,138,本科一批,76,理科,江西
辽宁,大连理工大学,2012,633.00,613.00,,139,本科一批,66,理科,江西
辽宁,大连理工大学,2011,606.00,593.00,,129,本科一批,62,理科,江西
辽宁,大连理工大学,2010,608.00,590.00,,7,本科提前批,90,理科,江西
辽宁,大连理工大学,2010,600.00,569.00,,130,本科一批,54,理科,江西
辽宁,大连理工大学,2009,594.00,579.00,,140,本科一批,61,理科,江西
