招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
辽宁,大连理工大学,2008,370.00,353.00,,154,本科一批,23,综合,江苏
辽宁,大连理工大学,2007,642.00,629.00,,147,本科一批,41,综合,江苏
辽宁,大连理工大学,2006,630.00,616.00,,126,本科一批,44,综合,江苏
辽宁,大连理工大学,2006,736.00,702.00,,15,本科一批,65,综合,广东
辽宁,东北大学,2008,366.00,342.00,,82,本科一批,12,综合,江苏
辽宁,东北大学,2007,627.00,612.00,,99,本科一批,24,综合,江苏
辽宁,东北大学,2006,615.00,595.00,,110,本科一批,23,综合,江苏
辽宁,东北大学,2006,718.00,675.00,,41,本科一批,38,综合,广东
辽宁,辽宁大学,2008,344.00,334.00,,40,本科一批,4,综合,江苏
辽宁,辽宁大学,2007,612.00,596.00,,39,本科一批,8,综合,江苏
辽宁,辽宁大学,2006,586.00,576.00,,50,本科一批,4,综合,江苏
辽宁,辽宁大学,2006,574.00,573.00,,2,本科提前批,,综合,江苏
辽宁,辽宁大学,2006,694.00,658.00,,40,本科一批,21,综合,广东
辽宁,大连海事大学,2008,363.00,346.00,,107,本科一批,16,综合,江苏
辽宁,大连海事大学,2008,362.00,340.00,,9,本科提前批,,综合,江苏
辽宁,大连海事大学,2007,632.00,614.00,,103,本科一批,26,综合,江苏
辽宁,大连海事大学,2007,606.00,596.00,,15,本科提前批,,综合,江苏
辽宁,大连海事大学,2006,624.00,605.00,,116,本科一批,33,综合,江苏
辽宁,大连海事大学,2006,610.00,564.00,,29,本科提前批,,综合,江苏
辽宁,大连海事大学,2006,777.00,672.00,,85,本科一批,35,综合,广东
辽宁,沈阳工业大学,2008,329.00,319.00,,32,本科二批,19,综合,江苏
辽宁,沈阳工业大学,2007,613.00,585.00,,10,本科提前批,,综合,江苏
辽宁,沈阳工业大学,2007,587.00,573.00,,32,本科二三批,,综合,江苏
辽宁,沈阳工业大学,2007,587.00,573.00,,32,本科二批,14,综合,江苏
辽宁,沈阳工业大学,2006,575.00,565.00,,32,本科二批,23,综合,江苏
辽宁,沈阳工业大学,2006,571.00,558.00,,10,本科提前批,,综合,江苏
辽宁,沈阳工业大学,2006,617.00,595.00,,13,本科二批,,综合,广东
辽宁,沈阳工业大学,2006,617.00,595.00,,13,本科二三批,,综合,广东
辽宁,沈阳航空航天大学,2008,336.00,320.00,,60,本科二批,20,综合,江苏
辽宁,沈阳航空航天大学,2007,594.00,573.00,,53,本科二批,14,综合,江苏
辽宁,沈阳航空航天大学,2007,594.00,573.00,,53,本科二三批,,综合,江苏
辽宁,沈阳航空航天大学,2007,584.00,580.00,,5,本科提前批,,综合,江苏
辽宁,沈阳航空航天大学,2006,576.00,563.00,,16,本科二批,21,综合,江苏
辽宁,沈阳航空航天大学,2006,567.00,563.00,,5,本科提前批,,综合,江苏
辽宁,沈阳航空航天大学,2006,633.00,603.00,,10,本科二三批,,综合,广东
辽宁,沈阳航空航天大学,2006,633.00,603.00,,10,本科二批,,综合,广东
辽宁,辽宁科技大学,2008,324.00,311.00,,30,本科二批,11,综合,江苏
辽宁,辽宁科技大学,2007,579.00,573.00,,30,本科二三批,,综合,江苏
辽宁,辽宁科技大学,2007,579.00,573.00,,30,本科二批,14,综合,江苏
辽宁,辽宁科技大学,2006,557.00,548.00,,30,本科二批,6,综合,江苏
辽宁,辽宁科技大学,2006,649.00,584.00,,20,本科二批,,综合,广东
辽宁,辽宁工程技术大学,2008,346.00,333.00,,80,本科一批,3,综合,江苏
