招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
陕西,西安交通大学,2013,581.00,566.00,,4,本科一批,17,文科,北京
陕西,西安交通大学,2012,599.00,565.00,,4,本科一批,70,文科,北京
陕西,西安交通大学,2011,581.00,566.00,,4,本科一批,42,文科,北京
陕西,西安交通大学,2010,606.00,577.00,,2,本科一批,53,文科,北京
陕西,西安交通大学,2009,572.00,572.00,,1,本科一批,40,文科,北京
陕西,西安交通大学,2008,535.00,535.00,,1,本科一批,20,文科,北京
陕西,西安交通大学,2006,570.00,570.00,,1,本科一批,54,文科,北京
陕西,西安交通大学,2004,,,,,不详,,文科,北京
陕西,西安交通大学,2003,,,,,不详,,文科,北京
陕西,西安交通大学,2002,,,,,不详,,文科,北京
陕西,西安交通大学,2005,514.00,508.00,,2,本科一批,10,文科,天津
陕西,西安交通大学,2013,469.00,468.00,,2,本科一批,20,文科,上海
陕西,西安交通大学,2013,605.00,604.00,,2,本科一批,48,文科,重庆
陕西,西安交通大学,2012,585.00,582.00,,2,本科一批,28,文科,重庆
陕西,西安交通大学,2011,618.00,601.00,,4,本科一批,37,文科,重庆
陕西,西安交通大学,2010,609.00,601.00,,3,本科一批,28,文科,重庆
陕西,西安交通大学,2009,591.00,569.00,,4,本科一批,23,文科,重庆
陕西,西安交通大学,2008,634.00,605.00,,3,本科一批,29,文科,重庆
陕西,西安交通大学,2007,588.00,577.00,,6,本科一批,37,文科,重庆
陕西,西安交通大学,2006,602.00,591.00,,4,本科一批,35,文科,重庆
陕西,西安交通大学,2005,570.00,566.00,,2,本科一批,17,文科,重庆
陕西,西安交通大学,2004,,,,,不详,,文科,重庆
陕西,西安交通大学,2003,,,,,不详,,文科,重庆
陕西,西安交通大学,2013,615.00,603.00,,8,本科一批,42,文科,河北
陕西,西安交通大学,2012,611.00,608.00,,4,本科一批,36,文科,河北
陕西,西安交通大学,2011,600.00,593.00,,6,本科一批,31,文科,河北
陕西,西安交通大学,2010,573.00,570.00,,5,本科一批,31,文科,河北
陕西,西安交通大学,2009,569.00,567.00,,4,本科一批,28,文科,河北
陕西,西安交通大学,2008,581.00,559.00,,6,本科一批,22,文科,河北
陕西,西安交通大学,2007,594.00,582.00,,5,本科一批,16,文科,河北
