招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
陕西,西安交通大学,2013,680.00,644.00,,44,本科一批,94,理科,北京
陕西,西安交通大学,2012,635.00,599.00,,49,本科一批,122,理科,北京
陕西,西安交通大学,2011,633.00,588.00,,51,本科一批,104,理科,北京
陕西,西安交通大学,2010,644.00,603.00,,55,本科一批,109,理科,北京
陕西,西安交通大学,2009,644.00,586.00,,50,本科一批,85,理科,北京
陕西,西安交通大学,2008,656.00,600.00,,47,本科一批,98,理科,北京
陕西,西安交通大学,2007,665.00,626.00,,50,本科一批,95,理科,北京
陕西,西安交通大学,2006,656.00,606.00,,54,本科一批,78,理科,北京
陕西,西安交通大学,2006,562.00,545.00,,2,本科提前批,,理科,北京
陕西,西安交通大学,2005,625.00,555.00,,61,本科一批,85,理科,北京
陕西,西安交通大学,2004,,,,,不详,,理科,北京
陕西,西安交通大学,2003,,,,,不详,,理科,北京
陕西,西安交通大学,2002,,,,,不详,,理科,北京
陕西,西安交通大学,2001,,546.00,,,不详,,理科,北京
陕西,西安交通大学,2013,641.00,623.00,,33,本科一批,102,理科,天津
陕西,西安交通大学,2012,664.00,638.00,,34,本科一批,108,理科,天津
陕西,西安交通大学,2011,639.00,620.00,,35,本科一批,105,理科,天津
陕西,西安交通大学,2010,631.00,601.00,,36,本科一批,92,理科,天津
陕西,西安交通大学,2009,638.00,598.00,,30,本科一批,96,理科,天津
陕西,西安交通大学,2008,631.00,604.00,,30,本科一批,82,理科,天津
陕西,西安交通大学,2007,639.00,598.00,,30,本科一批,89,理科,天津
陕西,西安交通大学,2006,632.00,595.00,,30,本科一批,90,理科,天津
陕西,西安交通大学,2005,607.00,561.00,,37,本科一批,103,理科,天津
陕西,西安交通大学,2004,,,,,不详,,理科,天津
陕西,西安交通大学,2003,,,,,不详,,理科,天津
陕西,西安交通大学,2002,,,,,不详,,理科,天津
陕西,西安交通大学,2001,,580.00,,,不详,,理科,天津
陕西,西安交通大学,2013,479.00,464.00,,16,本科一批,59,理科,上海
陕西,西安交通大学,2012,496.00,479.00,,20,本科一批,56,理科,上海
陕西,西安交通大学,2011,521.00,504.00,,22,本科一批,42,理科,上海
陕西,西安交通大学,2010,509.00,503.00,,18,本科一批,38,理科,上海
陕西,西安交通大学,2009,517.00,491.00,,20,本科一批,36,理科,上海
陕西,西安交通大学,2008,518.00,500.00,,25,本科一批,33,理科,上海
陕西,西安交通大学,2007,523.00,501.00,,33,本科一批,40,理科,上海
陕西,西安交通大学,2006,514.00,489.00,,25,本科一批,23,理科,上海
陕西,西安交通大学,2005,550.00,496.00,,10,本科一批,,理科,上海
陕西,西安交通大学,2004,,,,,不详,,理科,上海
陕西,西安交通大学,2003,,,,,不详,,理科,上海
陕西,西安交通大学,2002,,,,,不详,,理科,上海
陕西,西安交通大学,2001,,465.00,,,不详,,理科,上海
陕西,西安交通大学,2013,645.00,621.00,,80,本科一批,101,理科,重庆
陕西,西安交通大学,2012,653.00,632.00,,73,本科一批,110,理科,重庆
陕西,西安交通大学,2011,648.00,624.00,,72,本科一批,91,理科,重庆
陕西,西安交通大学,2010,658.00,634.00,,64,本科一批,101,理科,重庆
陕西,西安交通大学,2010,655.00,642.00,,16,本科提前批,,理科,重庆
陕西,西安交通大学,2009,667.00,646.00,,48,本科一批,89,理科,重庆
陕西,西安交通大学,2009,663.00,653.00,,20,本科提前批,,理科,重庆
陕西,西安交通大学,2008,666.00,653.00,,13,本科提前批,,理科,重庆
陕西,西安交通大学,2008,663.00,642.00,,54,本科一批,98,理科,重庆
陕西,西安交通大学,2007,639.00,612.00,,73,本科一批,107,理科,重庆
陕西,西安交通大学,2007,617.00,615.00,,6,本科提前批,,理科,重庆
陕西,西安交通大学,2007,510.00,510.00,,1,本科三批,88,理科,重庆
陕西,西安交通大学,2006,652.00,624.00,,82,本科一批,93,理科,重庆
陕西,西安交通大学,2006,644.00,641.00,,2,本科提前批,,理科,重庆
陕西,西安交通大学,2006,533.00,533.00,,1,本科二三批,,理科,重庆
陕西,西安交通大学,2006,533.00,533.00,,1,本科三批,86,理科,重庆
陕西,西安交通大学,2005,653.00,618.00,,65,本科一批,70,理科,重庆
陕西,西安交通大学,2005,623.00,605.00,,4,本科提前批,,理科,重庆
陕西,西安交通大学,2004,,,,,不详,,理科,重庆
陕西,西安交通大学,2003,,,,,不详,,理科,重庆
陕西,西安交通大学,2002,,,,,不详,,理科,重庆
陕西,西安交通大学,2001,,607.00,,,不详,,理科,重庆
陕西,西安交通大学,2013,652.00,640.00,,87,本科一批,102,理科,河北
陕西,西安交通大学,2012,661.00,652.00,,82,本科一批,88,理科,河北
陕西,西安交通大学,2011,678.00,659.00,,81,本科一批,78,理科,河北
陕西,西安交通大学,2010,653.00,635.00,,80,本科一批,74,理科,河北
陕西,西安交通大学,2010,652.00,641.00,,10,本科提前批,,理科,河北
陕西,西安交通大学,2009,658.00,642.00,,96,本科一批,73,理科,河北
陕西,西安交通大学,2008,646.00,617.00,,99,本科一批,65,理科,河北
陕西,西安交通大学,2007,664.00,651.00,,99,本科一批,64,理科,河北
陕西,西安交通大学,2006,648.00,634.00,,117,本科一批,57,理科,河北
陕西,西安交通大学,2006,613.00,599.00,,9,本科提前批,,理科,河北
陕西,西安交通大学,2005,636.00,617.00,,93,本科一批,66,理科,河北
陕西,西安交通大学,2004,,,,,不详,,理科,河北
陕西,西安交通大学,2003,,,578.00,,不详,,理科,河北
陕西,西安交通大学,2002,,,,,不详,,理科,河北
陕西,西安交通大学,2001,,624.00,,,不详,,理科,河北
陕西,西安交通大学,2013,627.00,613.00,,133,本科一批,108,理科,河南
陕西,西安交通大学,2012,654.00,632.00,,122,本科一批,92,理科,河南
陕西,西安交通大学,2011,662.00,654.00,,131,本科一批,72,理科,河南
陕西,西安交通大学,2010,636.00,627.00,,34,本科提前批,,理科,河南
陕西,西安交通大学,2010,634.00,623.00,,122,本科一批,71,理科,河南
陕西,西安交通大学,2009,675.00,647.00,,35,本科提前批,,理科,河南
陕西,西安交通大学,2009,654.00,625.00,,103,本科一批,58,理科,河南
陕西,西安交通大学,2008,666.00,642.00,,41,本科提前批,,理科,河南
陕西,西安交通大学,2008,656.00,623.00,,146,本科一批,60,理科,河南
陕西,西安交通大学,2007,680.00,660.00,,48,本科提前批,,理科,河南
陕西,西安交通大学,2007,675.00,638.00,,156,本科一批,42,理科,河南
陕西,西安交通大学,2006,678.00,654.00,,49,本科提前批,,理科,河南
陕西,西安交通大学,2006,664.00,635.00,,140,本科一批,45,理科,河南
陕西,西安交通大学,2005,679.00,647.00,,63,本科提前批,,理科,河南
陕西,西安交通大学,2005,655.00,624.00,,121,本科一批,56,理科,河南
陕西,西安交通大学,2004,,,,,不详,,理科,河南
陕西,西安交通大学,2003,,,,,不详,,理科,河南
陕西,西安交通大学,2002,,,,,不详,,理科,河南
陕西,西安交通大学,2001,,498.00,,,不详,,理科,河南
陕西,西安交通大学,2013,676.00,654.00,,160,本科一批,100,理科,山东
陕西,西安交通大学,2012,683.00,665.00,,170,本科一批,83,理科,山东
陕西,西安交通大学,2011,669.00,649.00,,154,本科一批,82,理科,山东
陕西,西安交通大学,2010,686.00,643.00,,15,本科提前批,,理科,山东
陕西,西安交通大学,2010,669.00,654.00,,112,本科一批,74,理科,山东
陕西,西安交通大学,2009,682.00,655.00,,187,本科一批,69,理科,山东
陕西,西安交通大学,2009,655.00,643.00,,6,本科提前批,,理科,山东
陕西,西安交通大学,2008,663.00,649.00,,162,本科一批,67,理科,山东
陕西,西安交通大学,2008,644.00,633.00,,6,本科提前批,,理科,山东
陕西,西安交通大学,2007,659.00,638.00,,175,本科一批,65,理科,山东
陕西,西安交通大学,2007,631.00,614.00,,6,本科提前批,,理科,山东
陕西,西安交通大学,2006,663.00,650.00,,202,本科一批,67,理科,山东
陕西,西安交通大学,2006,633.00,629.00,,3,本科提前批,,理科,山东
陕西,西安交通大学,2005,675.00,662.00,,196,本科一批,65,理科,山东
陕西,西安交通大学,2005,652.00,642.00,,9,本科提前批,,理科,山东
陕西,西安交通大学,2004,,,,,不详,,理科,山东
陕西,西安交通大学,2003,,,585.00,,不详,,理科,山东
陕西,西安交通大学,2002,,,,,不详,,理科,山东
陕西,西安交通大学,2001,,637.00,,,不详,,理科,山东
陕西,西安交通大学,2013,605.00,589.00,,79,本科一批,96,理科,山西
陕西,西安交通大学,2012,642.00,621.00,,70,本科一批,91,理科,山西
陕西,西安交通大学,2011,661.00,637.00,,77,本科一批,67,理科,山西
陕西,西安交通大学,2010,629.00,602.00,,71,本科一批,66,理科,山西
陕西,西安交通大学,2009,639.00,613.00,,78,本科一批,66,理科,山西
陕西,西安交通大学,2008,645.00,608.00,,81,本科一批,62,理科,山西
陕西,西安交通大学,2007,667.00,629.00,,93,本科一批,57,理科,山西
陕西,西安交通大学,2007,616.00,598.00,,4,本科提前批,,理科,山西
陕西,西安交通大学,2006,639.00,608.00,,105,本科一批,56,理科,山西
陕西,西安交通大学,2005,628.00,586.00,,101,本科一批,54,理科,山西
陕西,西安交通大学,2004,,,,,不详,,理科,山西
陕西,西安交通大学,2003,,,496.00,,不详,,理科,山西
陕西,西安交通大学,2002,,,,,不详,,理科,山西
陕西,西安交通大学,2001,,607.00,,,不详,,理科,山西
陕西,西安交通大学,2013,621.00,609.00,,66,本科一批,119,理科,安徽
陕西,西安交通大学,2012,656.00,649.00,,59,本科一批,105,理科,安徽
陕西,西安交通大学,2011,652.00,640.00,,63,本科一批,106,理科,安徽
陕西,西安交通大学,2010,660.00,648.00,,18,本科提前批,,理科,安徽
陕西,西安交通大学,2010,656.00,648.00,,63,本科一批,86,理科,安徽
陕西,西安交通大学,2009,664.00,653.00,,23,本科提前批,,理科,安徽
陕西,西安交通大学,2009,663.00,655.00,,61,本科一批,76,理科,安徽
陕西,西安交通大学,2008,667.00,646.00,,12,本科提前批,,理科,安徽
陕西,西安交通大学,2008,644.00,632.00,,70,本科一批,69,理科,安徽
陕西,西安交通大学,2007,667.00,653.00,,12,本科提前批,,理科,安徽
陕西,西安交通大学,2007,647.00,636.00,,64,本科一批,73,理科,安徽
陕西,西安交通大学,2006,664.00,648.00,,13,本科提前批,,理科,安徽
陕西,西安交通大学,2006,658.00,637.00,,71,本科一批,71,理科,安徽
陕西,西安交通大学,2005,649.00,612.00,,71,本科一批,71,理科,安徽
陕西,西安交通大学,2005,631.00,604.00,,15,本科提前批,,理科,安徽
陕西,西安交通大学,2004,,,,,不详,,理科,安徽
