招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
陕西,西安交通大学,2008,376.00,363.00,,198,本科一批,33,综合,江苏
陕西,西安交通大学,2007,661.00,642.00,,187,本科一批,54,综合,江苏
陕西,西安交通大学,2007,606.00,603.00,,2,本科提前批,,综合,江苏
陕西,西安交通大学,2006,648.00,633.00,,208,本科一批,61,综合,江苏
陕西,西安交通大学,2006,596.00,593.00,,2,本科提前批,,综合,江苏
陕西,西安交通大学,2006,796.00,704.00,,36,本科一批,67,综合,广东
陕西,西北工业大学,2008,368.00,352.00,,149,本科一批,22,综合,江苏
陕西,西北工业大学,2007,638.00,626.00,,146,本科一批,38,综合,江苏
陕西,西北工业大学,2007,617.00,598.00,,7,本科提前批,,综合,江苏
陕西,西北工业大学,2006,629.00,612.00,,154,本科一批,40,综合,江苏
陕西,西北工业大学,2006,612.00,581.00,,9,本科提前批,,综合,江苏
陕西,西北工业大学,2006,719.00,667.00,,20,本科一批,30,综合,广东
陕西,西北农林科技大学,2008,347.00,335.00,,52,本科一批,5,综合,江苏
陕西,西北农林科技大学,2007,603.00,591.00,,69,本科一批,3,综合,江苏
陕西,西北农林科技大学,2006,596.00,578.00,,50,本科一批,6,综合,江苏
陕西,西北农林科技大学,2006,685.00,662.00,,16,本科一批,25,综合,广东
陕西,西北大学,2008,357.00,340.00,,40,本科一批,10,综合,江苏
陕西,西北大学,2007,618.00,607.00,,35,本科一批,19,综合,江苏
陕西,西北大学,2006,600.00,586.00,,50,本科一批,14,综合,江苏
陕西,西北大学,2006,723.00,673.00,,14,本科一批,36,综合,广东
陕西,西安电子科技大学,2008,366.00,347.00,,260,本科一批,17,综合,江苏
陕西,西安电子科技大学,2007,642.00,619.00,,231,本科一批,31,综合,江苏
陕西,西安电子科技大学,2006,631.00,605.00,,237,本科一批,33,综合,江苏
陕西,西安电子科技大学,2006,747.00,677.00,,96,本科一批,40,综合,广东
陕西,陕西师范大学,2008,352.00,336.00,,18,本科提前批,,综合,江苏
陕西,陕西师范大学,2008,345.00,336.00,,18,本科一批,6,综合,江苏
陕西,陕西师范大学,2007,627.00,608.00,,17,本科提前批,,综合,江苏
陕西,陕西师范大学,2007,601.00,592.00,,28,本科一批,4,综合,江苏
陕西,陕西师范大学,2006,609.00,578.00,,40,本科一批,6,综合,江苏
陕西,陕西师范大学,2006,731.00,653.00,,52,本科一批,16,综合,广东
陕西,长安大学,2008,357.00,336.00,,152,本科一批,6,综合,江苏
陕西,长安大学,2007,613.00,598.00,,143,本科一批,10,综合,江苏
陕西,长安大学,2006,597.00,582.00,,143,本科一批,10,综合,江苏
陕西,长安大学,2006,692.00,655.00,,26,本科一批,18,综合,广东
陕西,长安大学,2006,655.00,646.00,,2,本科提前批,,综合,广东
陕西,第四军医大学,2007,663.00,619.00,,38,本科提前批,,综合,江苏
陕西,第四军医大学,2006,619.00,598.00,,36,本科提前批,,综合,江苏
陕西,西安理工大学,2008,338.00,324.00,,58,本科二批,24,综合,江苏
陕西,西安理工大学,2007,606.00,588.00,,32,本科二三批,,综合,江苏
陕西,西安理工大学,2007,606.00,588.00,,32,本科二批,29,综合,江苏
陕西,西安理工大学,2007,592.00,584.00,,5,本科提前批,,综合,江苏
陕西,西安理工大学,2006,608.00,571.00,,45,本科二批,29,综合,江苏
陕西,西安理工大学,2006,571.00,562.00,,7,本科提前批,,综合,江苏
陕西,西安理工大学,2006,619.00,599.00,,37,本科二三批,,综合,广东
陕西,西安理工大学,2006,619.00,599.00,,37,本科二批,,综合,广东
陕西,西安工业大学,2008,327.00,315.00,,36,本科二批,15,综合,江苏
陕西,西安工业大学,2007,585.00,578.00,,33,本科二三批,,综合,江苏
陕西,西安工业大学,2007,585.00,578.00,,33,本科二批,19,综合,江苏
陕西,西安工业大学,2006,569.00,560.00,,23,本科二批,18,综合,江苏
陕西,西安工业大学,2006,605.00,586.00,,10,本科二批,,综合,广东
陕西,西安工业大学,2006,605.00,586.00,,10,本科二三批,,综合,广东
陕西,西安建筑科技大学,2008,352.00,339.00,,18,本科一批,9,综合,江苏
陕西,西安建筑科技大学,2007,634.00,603.00,,20,本科一批,15,综合,江苏
陕西,西安建筑科技大学,2006,605.00,583.00,,19,本科一批,11,综合,江苏
陕西,西安建筑科技大学,2006,730.00,681.00,,6,本科一批,44,综合,广东
陕西,陕西科技大学,2008,344.00,333.00,,49,本科一批,3,综合,江苏
陕西,陕西科技大学,2007,603.00,591.00,,50,本科一批,3,综合,江苏
陕西,陕西科技大学,2006,597.00,578.00,,60,本科一批,6,综合,江苏
陕西,陕西科技大学,2006,684.00,655.00,,8,本科一批,18,综合,广东
陕西,西安工程大学,2008,333.00,317.00,,40,本科二批,17,综合,江苏
陕西,西安工程大学,2007,584.00,576.00,,39,本科二批,17,综合,江苏
陕西,西安工程大学,2007,584.00,576.00,,39,本科二三批,,综合,江苏
陕西,西安工程大学,2006,564.00,557.00,,30,本科二批,15,综合,江苏
陕西,西安工程大学,2006,646.00,605.00,,10,本科二批,,综合,广东
陕西,西安工程大学,2006,646.00,605.00,,10,本科二三批,,综合,广东
陕西,陕西中医学院,2008,327.00,311.00,,10,本科二批,11,综合,江苏
陕西,陕西中医学院,2007,585.00,573.00,,10,本科二批,14,综合,江苏
陕西,陕西中医学院,2007,585.00,573.00,,10,本科二三批,,综合,江苏
陕西,陕西中医学院,2006,624.00,569.00,,10,本科二批,,综合,广东
陕西,陕西中医学院,2006,624.00,569.00,,10,本科二三批,,综合,广东
陕西,延安大学,2008,320.00,306.00,,15,本科二批,6,综合,江苏
陕西,延安大学,2007,582.00,571.00,,15,本科二批,12,综合,江苏
陕西,延安大学,2007,582.00,571.00,,15,本科二三批,,综合,江苏
