招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
黑龙江,哈尔滨工业大学,2013,624.00,582.00,,7,本科一批,33,文科,北京
黑龙江,哈尔滨工业大学,2012,559.00,529.00,,2,本科一批,34,文科,北京
黑龙江,哈尔滨工业大学,2011,570.00,546.00,,5,本科一批,22,文科,北京
黑龙江,哈尔滨工业大学,2010,567.00,545.00,,5,本科一批,21,文科,北京
黑龙江,哈尔滨工业大学,2009,573.00,552.00,,7,本科一批,20,文科,北京
黑龙江,哈尔滨工业大学,2008,577.00,547.00,,6,本科一批,32,文科,北京
黑龙江,哈尔滨工业大学,2007,582.00,564.00,,5,本科一批,36,文科,北京
黑龙江,哈尔滨工业大学,2006,568.00,547.00,,5,本科一批,31,文科,北京
黑龙江,哈尔滨工业大学,2005,535.00,520.00,,8,本科一批,34,文科,北京
黑龙江,哈尔滨工业大学,2004,,,,,不详,,文科,北京
黑龙江,哈尔滨工业大学,2003,,,,,不详,,文科,北京
黑龙江,哈尔滨工业大学,2002,,,,,不详,,文科,北京
黑龙江,哈尔滨工业大学,2001,,482.00,,,不详,,文科,北京
黑龙江,哈尔滨工业大学,2013,585.00,573.00,,5,本科一批,40,文科,天津
黑龙江,哈尔滨工业大学,2012,624.00,602.00,,6,本科一批,53,文科,天津
黑龙江,哈尔滨工业大学,2013,597.00,567.00,,52,本科一批,6,文科,河北
黑龙江,哈尔滨工业大学,2012,616.00,606.00,,14,本科一批,34,文科,河北
黑龙江,哈尔滨工业大学,2011,607.00,591.00,,17,本科一批,29,文科,河北
黑龙江,哈尔滨工业大学,2010,578.00,570.00,,14,本科一批,31,文科,河北
黑龙江,哈尔滨工业大学,2009,586.00,566.00,,14,本科一批,27,文科,河北
黑龙江,哈尔滨工业大学,2008,576.00,569.00,,15,本科一批,32,文科,河北
黑龙江,哈尔滨工业大学,2007,593.00,581.00,,14,本科一批,15,文科,河北
黑龙江,哈尔滨工业大学,2006,594.00,586.00,,20,本科一批,25,文科,河北
黑龙江,哈尔滨工业大学,2005,566.00,549.00,,20,本科一批,13,文科,河北
黑龙江,哈尔滨工业大学,2013,573.00,562.00,,12,本科一批,43,文科,河南
黑龙江,哈尔滨工业大学,2012,602.00,595.00,,14,本科一批,38,文科,河南
黑龙江,哈尔滨工业大学,2011,607.00,594.00,,17,本科一批,32,文科,河南
黑龙江,哈尔滨工业大学,2010,566.00,557.00,,17,本科一批,25,文科,河南
黑龙江,哈尔滨工业大学,2010,566.00,561.00,,5,本科提前批,,文科,河南
黑龙江,哈尔滨工业大学,2009,603.00,576.00,,17,本科一批,24,文科,河南
黑龙江,哈尔滨工业大学,2008,597.00,572.00,,15,本科一批,15,文科,河南
黑龙江,哈尔滨工业大学,2007,624.00,609.00,,14,本科一批,20,文科,河南
黑龙江,哈尔滨工业大学,2006,645.00,625.00,,20,本科一批,34,文科,河南
黑龙江,哈尔滨工业大学,2005,622.00,591.00,,20,本科一批,26,文科,河南
黑龙江,哈尔滨工业大学,2013,617.00,614.00,,6,本科一批,44,文科,山东
黑龙江,哈尔滨工业大学,2012,621.00,600.00,,10,本科一批,27,文科,山东
黑龙江,哈尔滨工业大学,2011,612.00,601.00,,12,本科一批,31,文科,山东
黑龙江,哈尔滨工业大学,2010,639.00,628.00,,11,本科一批,22,文科,山东
黑龙江,哈尔滨工业大学,2010,635.00,630.00,,4,本科提前批,,文科,山东
黑龙江,哈尔滨工业大学,2009,624.00,612.00,,11,本科一批,16,文科,山东
黑龙江,哈尔滨工业大学,2008,606.00,592.00,,30,本科一批,8,文科,山东
黑龙江,哈尔滨工业大学,2007,608.00,598.00,,43,本科一批,5,文科,山东
黑龙江,哈尔滨工业大学,2006,599.00,575.00,,30,本科一批,7,文科,山东
黑龙江,哈尔滨工业大学,2005,611.00,583.00,,48,本科一批,11,文科,山东
黑龙江,哈尔滨工业大学,2013,551.00,538.00,,12,本科一批,31,文科,山西
黑龙江,哈尔滨工业大学,2012,574.00,564.00,,10,本科一批,25,文科,山西
黑龙江,哈尔滨工业大学,2011,576.00,563.00,,13,本科一批,20,文科,山西
黑龙江,哈尔滨工业大学,2010,565.00,545.00,,10,本科一批,12,文科,山西
黑龙江,哈尔滨工业大学,2009,591.00,567.00,,10,本科一批,19,文科,山西
黑龙江,哈尔滨工业大学,2013,587.00,579.00,,11,本科一批,39,文科,安徽
黑龙江,哈尔滨工业大学,2012,614.00,609.00,,11,本科一批,32,文科,安徽
黑龙江,哈尔滨工业大学,2011,585.00,580.00,,13,本科一批,33,文科,安徽
黑龙江,哈尔滨工业大学,2010,607.00,600.00,,13,本科一批,27,文科,安徽
黑龙江,哈尔滨工业大学,2009,575.00,567.00,,11,本科一批,24,文科,安徽
黑龙江,哈尔滨工业大学,2013,,,338.00,,本科一批,,文科,江苏
黑龙江,哈尔滨工业大学,2007,649.00,621.00,,176,本科一批,,文科,江苏
黑龙江,哈尔滨工业大学,2006,640.00,613.00,,185,本科一批,,文科,江苏
黑龙江,哈尔滨工业大学,2006,611.00,592.00,,10,本科提前批,,文科,江苏
黑龙江,哈尔滨工业大学,2005,648.00,602.00,,200,本科一批,,文科,江苏
黑龙江,哈尔滨工业大学,2013,,,559.00,12,本科一批,,文科,浙江
黑龙江,哈尔滨工业大学,2013,608.00,600.00,,6,本科一批,6,文科,广东
黑龙江,哈尔滨工业大学,2010,614.00,611.00,,3,本科一批,16,文科,广东
黑龙江,哈尔滨工业大学,2006,831.00,727.00,,58,本科一批,,文科,广东
黑龙江,哈尔滨工业大学,2005,814.00,722.00,,58,本科一批,,文科,广东
黑龙江,哈尔滨工业大学,2013,585.00,574.00,,5,本科一批,33,文科,广西
黑龙江,哈尔滨工业大学,2013,604.00,587.00,,10,本科一批,20,文科,四川
黑龙江,哈尔滨工业大学,2013,603.00,595.00,,3,本科一批,55,文科,陕西
黑龙江,哈尔滨工业大学,2012,632.00,575.00,,69,本科一批,49,文科,黑龙江
黑龙江,哈尔滨工业大学,2011,633.00,585.00,,63,本科一批,45,文科,黑龙江
黑龙江,哈尔滨工业大学,2010,630.00,570.00,,49,本科一批,47,文科,黑龙江
黑龙江,哈尔滨工业大学,2010,588.00,583.00,,5,本科提前批,,文科,黑龙江
黑龙江,哈尔滨工业大学,2009,619.00,569.00,,57,本科一批,38,文科,黑龙江
黑龙江,哈尔滨工业大学,2008,641.00,603.00,,73,本科一批,34,文科,黑龙江
黑龙江,哈尔滨工业大学,2007,618.00,592.00,,56,本科一批,25,文科,黑龙江
黑龙江,哈尔滨工业大学,2006,637.00,594.00,,67,本科一批,37,文科,黑龙江
黑龙江,哈尔滨工业大学,2005,647.00,587.00,,73,本科一批,31,文科,黑龙江
黑龙江,哈尔滨工业大学,2004,,,,,不详,,文科,黑龙江
黑龙江,哈尔滨工业大学,2003,,,,,不详,,文科,黑龙江
黑龙江,哈尔滨工业大学,2002,,,,,不详,,文科,黑龙江
黑龙江,哈尔滨工业大学,2001,,534.00,,,不详,,文科,黑龙江
黑龙江,哈尔滨工业大学,2013,563.00,556.00,,10,本科一批,46,文科,吉林
黑龙江,哈尔滨工业大学,2012,576.00,571.00,,15,本科一批,42,文科,吉林
黑龙江,哈尔滨工业大学,2011,583.00,566.00,,17,本科一批,29,文科,吉林
黑龙江,哈尔滨工业大学,2010,556.00,548.00,,15,本科一批,31,文科,吉林
黑龙江,哈尔滨工业大学,2009,559.00,551.00,,18,本科一批,21,文科,吉林
黑龙江,哈尔滨工业大学,2008,601.00,583.00,,37,本科一批,18,文科,吉林
黑龙江,哈尔滨工业大学,2007,620.00,582.00,,49,本科一批,15,文科,吉林
黑龙江,哈尔滨工业大学,2006,619.00,570.00,,42,本科一批,20,文科,吉林
黑龙江,哈尔滨工业大学,2005,625.00,581.00,,54,本科一批,22,文科,吉林
黑龙江,哈尔滨工业大学,2004,,,,,不详,,文科,吉林
黑龙江,哈尔滨工业大学,2003,,,,,不详,,文科,吉林
黑龙江,哈尔滨工业大学,2002,,,,,不详,,文科,吉林
黑龙江,哈尔滨工业大学,2001,,503.00,,,不详,,文科,吉林
黑龙江,哈尔滨工业大学,2013,600.00,591.00,,11,本科一批,37,文科,辽宁
黑龙江,哈尔滨工业大学,2012,615.00,605.00,,15,本科一批,42,文科,辽宁
黑龙江,哈尔滨工业大学,2011,591.00,574.00,,16,本科一批,39,文科,辽宁
黑龙江,哈尔滨工业大学,2011,578.00,569.00,,4,本科提前批,,文科,辽宁
黑龙江,哈尔滨工业大学,2010,575.00,566.00,,5,本科提前批,,文科,辽宁
黑龙江,哈尔滨工业大学,2010,574.00,553.00,,16,本科一批,22,文科,辽宁
黑龙江,哈尔滨工业大学,2009,611.00,592.00,,17,本科一批,32,文科,辽宁
黑龙江,哈尔滨工业大学,2008,603.00,578.00,,21,本科一批,40,文科,辽宁
黑龙江,哈尔滨工业大学,2007,619.00,570.00,,26,本科一批,32,文科,辽宁
黑龙江,哈尔滨工业大学,2006,621.00,569.00,,25,本科一批,31,文科,辽宁
黑龙江,哈尔滨工业大学,2005,636.00,589.00,,324,本科一批,,文科,辽宁
黑龙江,哈尔滨工业大学,2002,,,,,不详,,文科,辽宁
黑龙江,哈尔滨工业大学,2001,,548.00,,,不详,,文科,辽宁
黑龙江,哈尔滨工业大学,2010,547.00,541.00,,2,本科一批,66,文科,内蒙古
黑龙江,哈尔滨工业大学,2002,,,,,不详,,文科,内蒙古
黑龙江,哈尔滨工业大学,2001,,516.00,,,不详,,文科,内蒙古
黑龙江,哈尔滨工业大学,2013,574.00,572.00,,4,本科一批,59,文科,福建
黑龙江,哈尔滨工业大学,2012,589.00,587.00,,2,本科一批,30,文科,福建
黑龙江,哈尔滨工业大学,2011,597.00,592.00,,2,本科一批,28,文科,福建
黑龙江,哈尔滨工程大学,2013,602.00,579.00,,7,本科一批,30,文科,北京
黑龙江,哈尔滨工程大学,2012,552.00,520.00,,5,本科一批,25,文科,北京
黑龙江,哈尔滨工程大学,2011,538.00,531.00,,2,本科一批,7,文科,北京
黑龙江,哈尔滨工程大学,2010,535.00,529.00,,3,本科一批,5,文科,北京
黑龙江,哈尔滨工程大学,2009,557.00,542.00,,5,本科一批,10,文科,北京
黑龙江,哈尔滨工程大学,2008,536.00,532.00,,4,本科一批,17,文科,北京
黑龙江,哈尔滨工程大学,2007,546.00,544.00,,5,本科一批,16,文科,北京
黑龙江,哈尔滨工程大学,2006,560.00,515.00,,3,本科二批,39,文科,北京
黑龙江,哈尔滨工程大学,2006,560.00,515.00,,3,本科二三批,,文科,北京
黑龙江,哈尔滨工程大学,2006,549.00,537.00,,2,本科一批,21,文科,北京
黑龙江,哈尔滨工程大学,2005,508.00,504.00,,3,本科一批,18,文科,北京
黑龙江,哈尔滨工程大学,2005,481.00,462.00,,3,本科二批,19,文科,北京
黑龙江,哈尔滨工程大学,2003,,501.00,,,不详,,文科,北京
黑龙江,哈尔滨工程大学,2002,,,,,不详,,文科,北京
黑龙江,哈尔滨工程大学,2001,,,464.00,,不详,,文科,北京
黑龙江,哈尔滨工程大学,2009,534.00,520.00,,5,本科一批,9,文科,天津
黑龙江,哈尔滨工程大学,2007,534.00,527.00,,5,本科一批,14,文科,天津
黑龙江,哈尔滨工程大学,2006,498.00,487.00,,4,本科一批,10,文科,天津
黑龙江,哈尔滨工程大学,2006,472.00,465.00,,4,本科二批,29,文科,天津
黑龙江,哈尔滨工程大学,2006,472.00,465.00,,4,本科二三批,,文科,天津
黑龙江,哈尔滨工程大学,2005,527.00,517.00,,4,本科一批,19,文科,天津
