招生地区,学校,年份,最高,平均,投档,录取人数,录取批次,录取线差,科目,省份
黑龙江,哈尔滨工业大学,2013,690.00,668.00,,97,本科一批,118,理科,北京
黑龙江,哈尔滨工业大学,2012,654.00,614.00,,75,本科一批,137,理科,北京
黑龙江,哈尔滨工业大学,2011,650.00,611.00,,77,本科一批,127,理科,北京
黑龙江,哈尔滨工业大学,2010,654.00,616.00,,68,本科一批,122,理科,北京
黑龙江,哈尔滨工业大学,2009,639.00,588.00,,97,本科一批,87,理科,北京
黑龙江,哈尔滨工业大学,2008,652.00,582.00,,100,本科一批,80,理科,北京
黑龙江,哈尔滨工业大学,2007,651.00,603.00,,71,本科一批,72,理科,北京
黑龙江,哈尔滨工业大学,2006,665.00,609.00,,120,本科一批,81,理科,北京
黑龙江,哈尔滨工业大学,2006,584.00,566.00,,6,本科提前批,,理科,北京
黑龙江,哈尔滨工业大学,2005,616.00,549.00,,92,本科一批,79,理科,北京
黑龙江,哈尔滨工业大学,2004,,,,,不详,,理科,北京
黑龙江,哈尔滨工业大学,2003,,,,,不详,,理科,北京
黑龙江,哈尔滨工业大学,2002,,,,,不详,,理科,北京
黑龙江,哈尔滨工业大学,2001,,562.00,,,不详,,理科,北京
黑龙江,哈尔滨工业大学,2013,644.00,614.00,,57,本科一批,93,理科,天津
黑龙江,哈尔滨工业大学,2012,660.00,631.00,,75,本科一批,101,理科,天津
黑龙江,哈尔滨工业大学,2011,642.00,611.00,,68,本科一批,96,理科,天津
黑龙江,哈尔滨工业大学,2010,627.00,595.00,,69,本科一批,86,理科,天津
黑龙江,哈尔滨工业大学,2010,566.00,560.00,,5,本科提前批,,理科,天津
黑龙江,哈尔滨工业大学,2009,644.00,593.00,,58,本科一批,91,理科,天津
黑龙江,哈尔滨工业大学,2008,653.00,614.00,,75,本科一批,92,理科,天津
黑龙江,哈尔滨工业大学,2007,646.00,596.00,,71,本科一批,87,理科,天津
黑龙江,哈尔滨工业大学,2006,639.00,595.00,,71,本科一批,90,理科,天津
黑龙江,哈尔滨工业大学,2005,627.00,556.00,,74,本科一批,98,理科,天津
黑龙江,哈尔滨工业大学,2004,,,,,不详,,理科,天津
黑龙江,哈尔滨工业大学,2003,,,,,不详,,理科,天津
黑龙江,哈尔滨工业大学,2002,,,,,不详,,理科,天津
黑龙江,哈尔滨工业大学,2001,,592.00,,,不详,,理科,天津
黑龙江,哈尔滨工业大学,2013,476.00,459.00,,25,本科一批,54,理科,上海
黑龙江,哈尔滨工业大学,2012,490.00,468.00,,37,本科一批,45,理科,上海
黑龙江,哈尔滨工业大学,2011,521.00,501.00,,37,本科一批,39,理科,上海
